"id","image_id","response","create_dt","session_id"
13778,336,0,"2022-03-06 15:33:51",ae7f2e99-e1f0-41b4-8c9d-26bfd9da8486
13779,22,-1,"2022-03-06 18:02:29","97b7b0d0-f99a-4bf4-ae95-6f4bd5939aa7"
13780,32,1,"2022-03-06 18:41:32","50781be8-10b5-45f3-bc90-b54d18dc6320"
13781,149,-1,"2022-03-06 18:50:01","2df4acda-feac-41b2-8451-acbd531be902"
13782,137,-1,"2022-03-06 19:11:18",e8f5af65-a0a2-4d5c-bcf4-1a0536ef3d38
13783,25,0,"2022-03-06 19:18:10",c7bdf8a9-797c-42c6-b1af-b0a5fbf03db2
13784,159,1,"2022-03-06 19:31:29","5b9aacb5-db79-467c-b427-819a13dd6aaf"
13785,153,-1,"2022-03-06 19:59:40","0162be32-7a00-4f92-b128-9fae0df2300d"
13786,27,-1,"2022-03-06 20:08:35","0646bad2-1ce0-45ac-88f4-fdc72018be50"
13787,352,0,"2022-03-06 20:36:22","2db8e9a9-1ac5-4bf5-b22b-a0dcb0fe7db1"
13788,149,1,"2022-03-06 20:42:00",b48a013d-2699-4230-a54a-cbe1dc808c5e
13789,110,0,"2022-03-06 21:04:54","91249333-228c-4b22-92ef-a1916b47880f"
13790,126,-1,"2022-03-06 21:16:30","1e51f6b3-39fd-44eb-8455-26e3a129c15f"
13791,131,-1,"2022-03-06 21:31:58","70ab1b5e-b5c9-4f7a-a62e-35e6d1466154"
13792,20,0,"2022-03-06 21:41:08","4767bf44-a7a8-455b-bbd6-2e84443acbaa"
13793,386,0,"2022-03-06 22:09:13","32b9913c-b543-4d8c-b07b-3d45f5c3d063"
13794,319,0,"2022-03-06 22:20:59","65172bbe-311c-4aa9-aefe-cff22a9d823e"
13795,166,0,"2022-03-06 22:27:05",aee23dc1-8661-482a-b039-b4ab1eec3859
13796,354,0,"2022-03-06 22:41:12","700fddc2-28cd-4f2e-a7ce-b667d85b19e2"
13797,93,-1,"2022-03-06 23:44:03","421c9d82-1c74-49f4-b4b7-3534713b2378"
13798,389,-1,"2022-03-07 00:01:36","7b8996bf-cccc-4ed1-af1e-2641aa1e88e7"
